symbol,date_et,hour_et,open,high,low,close,range
AAPL,2025-06-02,12,201.03,201.168,200.57,200.8601,0.59799
AAPL,2025-06-02,13,200.86,201.53,200.5801,201.454,0.94991
AAPL,2025-06-02,14,201.45,201.7799,201.14,201.66,0.63991
AAPL,2025-06-02,15,201.65,201.8099,201.3,201.8,0.5099
AAPL,2025-06-03,9,201.35,203.24,200.955,201.74,2.285
AAPL,2025-06-03,10,201.74,202.69,201.5202,202.5,1.1698
AAPL,2025-06-03,11,202.52,203.34,202.06,203.055,1.28
AAPL,2025-06-03,12,203.06,203.74,202.72,203.3146,1.02
AAPL,2025-06-03,13,203.335,203.77,202.5,203.0917,1.27
AAPL,2025-06-03,14,203.08,203.4399,202.99,203.18,0.44989
AAPL,2025-06-03,15,203.18,203.4699,202.98,203.34,0.4899
AAPL,2025-06-04,9,202.91,206.24,202.6508,205.14,3.5892
AAPL,2025-06-04,10,205.12,205.18,203.9901,204.09,1.1899
AAPL,2025-06-04,11,204.09,204.6,202.15,202.83,2.45001
AAPL,2025-06-04,12,202.82,203.59,202.615,203.415,0.97499
AAPL,2025-06-04,13,203.412,203.47,202.85,203.12,0.62
AAPL,2025-06-04,14,203.11,203.25,202.76,203.19,0.49001
AAPL,2025-06-04,15,203.19,203.4477,202.76,202.887,0.6877
AAPL,2025-06-05,9,203.595,203.84,201.27,202.45,2.56999
AAPL,2025-06-05,10,202.45,204.59,201.6772,204.5438,2.9128
AAPL,2025-06-05,11,204.535,204.75,202.48,203.14,2.27
AAPL,2025-06-05,12,203.14,203.25,201.55,202.6001,1.7
AAPL,2025-06-05,13,202.6,202.9,201.15,202.2104,1.75
AAPL,2025-06-05,14,202.21,202.72,200.2,200.73,2.52
AAPL,2025-06-05,15,200.74,201.77,200.1596,200.55,1.6104
AAPL,2025-06-06,9,202.995,205.7,202.9831,203.66,2.7169
AAPL,2025-06-06,10,203.65,204.06,202.98,203.1799,1.08
AAPL,2025-06-06,11,203.08,203.6,202.61,202.625,0.99001
AAPL,2025-06-06,12,202.62,203.78,202.05,203.59,1.73
AAPL,2025-06-06,13,203.6,205.21,203.59,204.985,1.62001
AAPL,2025-06-06,14,204.99,205.47,204.685,204.7,0.785
AAPL,2025-06-06,15,204.69,205.22,203.895,203.93,1.325
AAPL,2025-06-09,9,204.39,206.0,203.98,205.32,2.02
AAPL,2025-06-09,10,205.3,205.74,204.51,204.53,1.23001
AAPL,2025-06-09,11,204.5301,204.91,203.73,203.9288,1.18001
AAPL,2025-06-09,12,203.93,205.2999,200.02,200.72,5.27989
AAPL,2025-06-09,13,200.71,202.6677,200.03,201.46,2.6377
AAPL,2025-06-09,14,201.43,201.7,200.63,201.25,1.06999
AAPL,2025-06-09,15,201.21,202.355,200.89,201.44,1.465
AAPL,2025-06-10,9,200.6,203.3569,200.57,202.87,2.7869
AAPL,2025-06-10,10,202.86,204.35,202.73,203.315,1.62001
AAPL,2025-06-10,11,203.32,203.32,202.3001,202.5388,1.01991
AAPL,2025-06-10,12,202.53,202.763,201.75,201.76,1.013
AAPL,2025-06-10,13,201.775,202.1,201.31,201.7,0.79001
AAPL,2025-06-10,14,201.69,203.225,201.6,202.82,1.625
AAPL,2025-06-10,15,202.8211,202.975,202.33,202.75,0.645
AAPL,2025-06-11,9,203.47,204.5,202.33,202.7601,2.17
AAPL,2025-06-11,10,202.76,202.77,200.91,200.94,1.86
AAPL,2025-06-11,11,200.895,201.17,199.6596,200.2071,1.51039
AAPL,2025-06-11,12,200.1907,201.2365,200.185,200.91,1.0515
AAPL,2025-06-11,13,200.905,200.985,198.71,199.2392,2.27499
AAPL,2025-06-11,14,199.22,199.6,198.62,198.98,0.98001
AAPL,2025-06-11,15,198.95,199.125,198.41,198.85,0.715
AAPL,2025-06-12,9,199.08,199.39,197.3601,198.0667,2.02989
AAPL,2025-06-12,10,198.08,198.925,197.8627,198.15,1.0623
AAPL,2025-06-12,11,198.1337,198.64,197.755,198.59,0.88499
AAPL,2025-06-12,12,198.58,199.44,198.21,199.26,1.23
AAPL,2025-06-12,13,199.26,199.6799,198.6696,198.75,1.0103
AAPL,2025-06-12,14,198.76,199.0604,198.545,198.885,0.5154
AAPL,2025-06-12,15,198.88,199.2,198.4,199.2,0.8
AAPL,2025-06-13,9,199.73,200.37,195.91,196.155,4.45999
AAPL,2025-06-13,10,196.16,197.64,195.98,197.51,1.66
AAPL,2025-06-13,11,197.52,198.0475,197.21,197.27,0.83749
AAPL,2025-06-13,12,197.29,197.57,196.92,197.27,0.65001
