symbol,window_days,hour_et,model,samples,l1,l2,l3,l4
MSFT,90,14,AGG,63,1.85381,2.17405,2.49429,1.73052
MSFT,90,14,CON,63,2.62238,2.94262,3.26286,2.49909
MSFT,90,14,WIDE,63,3.13476,3.455,3.77524,3.01147
MSFT,90,15,AGG,63,1.7158,2.01219,2.30859,1.60168
MSFT,90,15,CON,63,2.42715,2.72354,3.01994,2.31303
MSFT,90,15,WIDE,63,2.90138,3.19777,3.49417,2.78727
MSFT,90,16,AGG,0,,,,
MSFT,90,16,CON,0,,,,
MSFT,90,16,WIDE,0,,,,
MSFT,90,17,AGG,0,,,,
MSFT,90,17,CON,0,,,,
MSFT,90,17,WIDE,0,,,,
MSFT,90,18,AGG,0,,,,
MSFT,90,18,CON,0,,,,
MSFT,90,18,WIDE,0,,,,
MSFT,90,19,AGG,0,,,,
MSFT,90,19,CON,0,,,,
MSFT,90,19,WIDE,0,,,,
MSFT,90,20,AGG,0,,,,
MSFT,90,20,CON,0,,,,
MSFT,90,20,WIDE,0,,,,
MSFT,90,21,AGG,0,,,,
MSFT,90,21,CON,0,,,,
MSFT,90,21,WIDE,0,,,,
MSFT,90,22,AGG,0,,,,
MSFT,90,22,CON,0,,,,
MSFT,90,22,WIDE,0,,,,
MSFT,90,23,AGG,0,,,,
MSFT,90,23,CON,0,,,,
MSFT,90,23,WIDE,0,,,,
MSFT,180,0,AGG,0,,,,
MSFT,180,0,CON,0,,,,
MSFT,180,0,WIDE,0,,,,
MSFT,180,1,AGG,0,,,,
MSFT,180,1,CON,0,,,,
MSFT,180,1,WIDE,0,,,,
MSFT,180,2,AGG,0,,,,
MSFT,180,2,CON,0,,,,
MSFT,180,2,WIDE,0,,,,
MSFT,180,3,AGG,0,,,,
MSFT,180,3,CON,0,,,,
MSFT,180,3,WIDE,0,,,,
MSFT,180,4,AGG,0,,,,
MSFT,180,4,CON,0,,,,
MSFT,180,4,WIDE,0,,,,
MSFT,180,5,AGG,0,,,,
MSFT,180,5,CON,0,,,,
MSFT,180,5,WIDE,0,,,,
MSFT,180,6,AGG,0,,,,
MSFT,180,6,CON,0,,,,
MSFT,180,6,WIDE,0,,,,
MSFT,180,7,AGG,0,,,,
MSFT,180,7,CON,0,,,,
MSFT,180,7,WIDE,0,,,,
MSFT,180,8,AGG,0,,,,
MSFT,180,8,CON,0,,,,
MSFT,180,8,WIDE,0,,,,
MSFT,180,9,AGG,124,5.56378,6.5249,7.48602,5.19375
MSFT,180,9,CON,124,7.87046,8.83158,9.7927,7.50043
MSFT,180,9,WIDE,124,9.40825,10.36937,11.33048,9.03822
MSFT,180,10,AGG,124,2.93205,3.43854,3.94504,2.73704
MSFT,180,10,CON,124,4.14764,4.65414,5.16063,3.95264
MSFT,180,10,WIDE,124,4.95804,5.46453,5.97103,4.76303
MSFT,180,11,AGG,124,2.20835,2.58983,2.97131,2.06148
MSFT,180,11,CON,124,3.12391,3.50539,3.88687,2.97704
MSFT,180,11,WIDE,124,3.73428,4.11576,4.49724,3.58741
MSFT,180,12,AGG,123,2.00294,2.34894,2.69494,1.86973
MSFT,180,12,CON,123,2.83334,3.17934,3.52534,2.70013
MSFT,180,12,WIDE,123,3.38694,3.73294,4.07894,3.25373
MSFT,180,13,AGG,123,1.85608,2.17671,2.49734,1.73264
MSFT,180,13,CON,123,2.62559,2.94622,3.26685,2.50215
MSFT,180,13,WIDE,123,3.1386,3.45923,3.77985,3.01515
MSFT,180,14,AGG,123,1.83204,2.14851,2.46499,1.71019
MSFT,180,14,CON,123,2.59158,2.90806,3.22453,2.46974
MSFT,180,14,WIDE,123,3.09794,3.41442,3.73089,2.9761
MSFT,180,15,AGG,123,1.77607,2.08288,2.38968,1.65795
MSFT,180,15,CON,123,2.51241,2.81921,3.12602,2.39429
